epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,181.538,0.69992,1.35378,3.6548,1.11584,0,0.85443,0.4854,0.63861,0.4415,0.8558,0.48832,0.64036,0.44249,0.6574,1.00083,3.02599,1.11876,0,0.000207483,0.000207483,0.000207483
2,324.666,0.71361,1.20964,3.44245,1.10723,0,0.77649,0.54661,0.59806,0.424,0.79176,0.55272,0.59971,0.43084,0.67015,1.03764,3.55957,1.11635,0,0.000407583,0.000407583,0.000407583
3,466.03,0.70882,1.16399,3.43317,1.11025,0,0.73603,0.60206,0.66701,0.4634,0.74193,0.60957,0.68027,0.46777,0.65813,0.99204,2.86041,1.12618,0,0.000599433,0.000599433,0.000599433
4,606.654,0.72192,1.1624,3.44719,1.1133,0,0.79343,0.64382,0.68488,0.48299,0.78855,0.63936,0.68802,0.48743,0.65408,0.98579,2.94974,1.1067,0,0.000587875,0.000587875,0.000587875
5,749.115,0.6969,1.1362,3.32064,1.10077,0,0.78663,0.61039,0.71795,0.48998,0.79341,0.61736,0.72271,0.50042,0.65825,0.95134,3.06568,1.11236,0,0.0005755,0.0005755,0.0005755
6,892.095,0.70596,1.12992,3.29595,1.10772,0,0.85189,0.62125,0.69368,0.49203,0.8528,0.61817,0.69034,0.50344,0.65466,0.96509,2.74704,1.11717,0,0.000563125,0.000563125,0.000563125
7,1033.09,0.70012,1.15796,3.18459,1.09821,0,0.86035,0.68296,0.75547,0.53534,0.8585,0.67979,0.75589,0.55198,0.64356,0.93699,2.50206,1.10284,0,0.00055075,0.00055075,0.00055075
8,1174.52,0.69371,1.1094,3.24337,1.09969,0,0.86482,0.61781,0.72564,0.52564,0.86324,0.61599,0.72551,0.52637,0.64091,0.95059,2.53879,1.09799,0,0.000538375,0.000538375,0.000538375
9,1315.11,0.69566,1.05715,3.12673,1.0876,0,0.81036,0.70479,0.76501,0.55785,0.82124,0.70803,0.77073,0.56827,0.65417,0.89705,2.55792,1.10819,0,0.000526,0.000526,0.000526
10,1455.4,0.68898,1.07068,3.10175,1.08415,0,0.86693,0.67851,0.78027,0.55723,0.87863,0.67237,0.78245,0.56447,0.61909,0.89584,2.39167,1.0763,0,0.000513625,0.000513625,0.000513625
11,1595.62,0.67115,1.0522,2.97663,1.07462,0,0.86489,0.67692,0.76823,0.57077,0.82394,0.67143,0.77558,0.56215,0.60159,0.91395,2.34552,1.07456,0,0.00050125,0.00050125,0.00050125
12,1737.64,0.66712,1.07118,2.99185,1.08056,0,0.78654,0.71967,0.79241,0.58645,0.78774,0.69236,0.78911,0.5952,0.60679,0.88349,2.35634,1.07268,0,0.000488875,0.000488875,0.000488875
13,1878.88,0.66831,1.06761,2.90021,1.07752,0,0.85931,0.72542,0.7941,0.58751,0.86253,0.73062,0.80088,0.58537,0.59512,0.8708,2.35191,1.06409,0,0.0004765,0.0004765,0.0004765
