epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,104.88,0.77365,2.28672,3.20335,1.07172,0,0.97354,0.11034,0.15515,0.13851,0.97121,0.10887,0.15108,0.11293,0.77268,1.73901,2.28504,1.03924,0,0.000206117,0.000206117,0.000206117
2,175.892,0.7596,2.0282,1.69514,1.06052,0,0.7149,0.33283,0.25989,0.21483,0.71299,0.32992,0.25451,0.15896,0.73783,1.64105,1.02403,1.0349,0,0.000410347,0.000410347,0.000410347
3,246.045,0.75169,2.00081,1.43693,1.0467,0,0.87265,0.22387,0.25068,0.20361,0.86451,0.21809,0.24019,0.15293,0.72601,1.70895,1.04664,1.03995,0,0.000610453,0.000610453,0.000610453
4,316.146,0.73867,1.94295,1.32447,1.03627,0,0.77656,0.33248,0.28708,0.22793,0.7729,0.32702,0.27533,0.1765,0.72766,1.5531,0.84554,1.0207,0,0.000606437,0.000606437,0.000606437
5,384.426,0.71402,1.83601,1.19781,1.02124,0,0.76574,0.38086,0.30456,0.24121,0.75536,0.36864,0.2927,0.18425,0.67466,1.52653,0.77844,1.00722,0,0.00060025,0.00060025,0.00060025
6,453.084,0.71086,1.90275,1.16692,1.02636,0,0.67215,0.35247,0.29662,0.23627,0.67148,0.34683,0.2846,0.17933,0.64706,1.48493,0.76679,0.99128,0,0.000594062,0.000594062,0.000594062
7,523.738,0.68169,1.77173,1.05084,1.00317,0,0.72336,0.32041,0.30059,0.23738,0.7237,0.3024,0.2918,0.18261,0.65941,1.53915,0.74342,1.00858,0,0.000587875,0.000587875,0.000587875
8,590.733,0.69165,1.80217,1.01894,1.01349,0,0.58567,0.3261,0.31892,0.24799,0.59196,0.31772,0.30626,0.1877,0.63916,1.54871,0.79828,0.98536,0,0.000581687,0.000581687,0.000581687
9,659.802,0.6812,1.79241,0.97085,1.00626,0,0.63032,0.40134,0.33625,0.26597,0.61669,0.391,0.3252,0.20129,0.65528,1.4395,0.69943,1.00207,0,0.0005755,0.0005755,0.0005755
10,727.506,0.66797,1.72736,0.9385,1.00281,0,0.64342,0.41726,0.34416,0.26382,0.65573,0.41228,0.34055,0.20327,0.65926,1.46448,0.77909,1.00807,0,0.000569313,0.000569313,0.000569313
11,794.021,0.66081,1.71826,0.8895,0.99451,0,0.62449,0.4065,0.34914,0.26398,0.61619,0.3915,0.33488,0.202,0.6394,1.46314,0.7129,0.98625,0,0.000563125,0.000563125,0.000563125
12,861.539,0.66946,1.78363,0.87229,0.9941,0,0.61174,0.48365,0.36729,0.27512,0.59294,0.47135,0.35309,0.21586,0.64004,1.42608,0.64659,0.98408,0,0.000556938,0.000556938,0.000556938
13,928.598,0.64747,1.68673,0.83665,0.99162,0,0.51038,0.46689,0.36981,0.28186,0.50919,0.44046,0.35535,0.22262,0.6413,1.40198,0.68634,0.99788,0,0.00055075,0.00055075,0.00055075
14,996.75,0.66369,1.73236,0.85267,1.00225,0,0.49721,0.44422,0.37713,0.28602,0.4814,0.43398,0.36101,0.21663,0.63316,1.42163,0.6531,0.97595,0,0.000544563,0.000544563,0.000544563
