epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1546,0.7884,2.31981,2.57657,1.10714,0,0.95625,0.12988,0.19252,0.1625,0.95367,0.12757,0.18224,0.12241,0.72361,1.69073,1.74604,1.12001,0,0.000206117,0.000206117,0.000206117
2,122.4,0.74908,1.85194,1.50352,1.07907,0,0.7225,0.27935,0.24542,0.20178,0.71934,0.27435,0.23688,0.15165,0.72644,1.62678,1.01395,1.11757,0,0.000410347,0.000410347,0.000410347
3,179.917,0.78866,1.83138,1.38588,1.11288,0,0.62026,0.30402,0.29533,0.23922,0.61561,0.30553,0.28904,0.18155,0.73787,1.63347,1.03779,1.10596,0,0.000610453,0.000610453,0.000610453
4,235.19,0.77218,1.80333,1.25481,1.09537,0,0.64542,0.39555,0.31411,0.24431,0.63836,0.383,0.30329,0.18954,0.69067,1.51352,0.82425,1.07354,0,0.000606437,0.000606437,0.000606437
5,290.74,0.75058,1.75091,1.12877,1.08292,0,0.65782,0.38738,0.32696,0.25607,0.65029,0.37685,0.31471,0.19121,0.6728,1.46631,0.8222,1.06571,0,0.00060025,0.00060025,0.00060025
6,345.197,0.70787,1.63522,1.06688,1.06023,0,0.71366,0.38142,0.33258,0.2582,0.71075,0.37443,0.32602,0.19826,0.66379,1.39819,0.76059,1.05582,0,0.000594062,0.000594062,0.000594062
7,400.088,0.70038,1.65653,1.00401,1.05714,0,0.69538,0.39573,0.36322,0.27285,0.69288,0.38189,0.3534,0.2119,0.63026,1.40475,0.71867,1.03804,0,0.000587875,0.000587875,0.000587875
8,454.705,0.70146,1.66775,0.93492,1.05591,0,0.48506,0.42881,0.37221,0.27876,0.49994,0.40775,0.37282,0.22039,0.62785,1.35222,0.78845,1.0435,0,0.000581687,0.000581687,0.000581687
9,510.216,0.68356,1.6,0.85955,1.04143,0,0.61544,0.40801,0.40416,0.29982,0.61195,0.40218,0.40101,0.23602,0.62897,1.32733,0.63321,1.04605,0,0.0005755,0.0005755,0.0005755
10,564.945,0.68334,1.59161,0.85771,1.05209,0,0.56709,0.48365,0.39635,0.3022,0.55559,0.47508,0.38436,0.23753,0.59995,1.32429,0.6421,1.02993,0,0.000569313,0.000569313,0.000569313
11,619.552,0.67794,1.57577,0.8158,1.04208,0,0.55608,0.45219,0.39882,0.29618,0.55347,0.44513,0.39526,0.23463,0.60492,1.31691,0.63642,1.03513,0,0.000563125,0.000563125,0.000563125
12,674.239,0.66785,1.62208,0.81695,1.0403,0,0.57738,0.49169,0.41141,0.29612,0.56414,0.48335,0.40044,0.24023,0.61936,1.33528,0.59979,1.028,0,0.000556938,0.000556938,0.000556938
